score,dataset,feature_countdataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,1.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,3.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,5.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,10.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,20.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,30.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,50.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,100.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,1.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,3.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,5.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,10.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,20.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,30.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,50.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,100.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,1.00,ArithmeticMean
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,3.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,5.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,10.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,20.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,30.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,50.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,100.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,1.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,3.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,5.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,10.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,20.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,30.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,50.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,100.00,ArithmeticMean
0.9238674117,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,1.00,MajorityVoting
0.9283600121,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,3.00,MajorityVoting
0.9079583207,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,5.00,MajorityVoting
0.9445912615,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,10.00,MajorityVoting
0.9425375013,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,20.00,MajorityVoting
0.9517366355,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,30.00,MajorityVoting
0.9538482835,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,50.00,MajorityVoting
0.9493556831,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,100.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,1.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,3.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,5.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,10.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,20.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,30.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,50.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,100.00,MajorityVoting
0.93128209,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,1.00,ArithmeticMean
0.9426985805,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,3.00,ArithmeticMean
