score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.0,wine,13,178,3,MockClassifier,NONE,NONE,NONE
0.0,wine,13,178,3,MockClassifier,Random Subspace,10,Majority Voting
0.0,wine,13,178,3,MockClassifier,Random Networks,10,Majority Voting
0.0,wine,13,178,3,MockClassifier,Random Subspace,10,Arithmetic Mean
0.0,wine,13,178,3,MockClassifier,Random Networks,10,Arithmetic Mean
0.922514619883,wine,13,178,3,Extreme Learning Machine,NONE,NONE,NONE
0.876027691778,wine,13,178,3,Extreme Learning Machine,Random Subspace,10,Majority Voting
0.922514619883,wine,13,178,3,Extreme Learning Machine,Random Networks,10,Majority Voting
0.910382266942,wine,13,178,3,Extreme Learning Machine,Random Subspace,10,Arithmetic Mean
0.922514619883,wine,13,178,3,Extreme Learning Machine,Random Networks,10,Arithmetic Mean
0.393698400413,wine,13,178,3,Back Propagation PyBrain,NONE,NONE,NONE
0.399253955968,wine,13,178,3,Back Propagation PyBrain,Random Subspace,10,Majority Voting
0.399253955968,wine,13,178,3,Back Propagation PyBrain,Random Networks,10,Majority Voting
0.399253955968,wine,13,178,3,Back Propagation PyBrain,Random Subspace,10,Arithmetic Mean
0.399253955968,wine,13,178,3,Back Propagation PyBrain,Random Networks,10,Arithmetic Mean
0.903764619883,wine,13,178,3,svm,NONE,NONE,NONE
0.927375730994,wine,13,178,3,svm,Random Subspace,10,Majority Voting
0.899563553492,wine,13,178,3,svm,Random Networks,10,Majority Voting
0.781983144135,wine,13,178,3,svm,Random Subspace,10,Arithmetic Mean
0.893756449948,wine,13,178,3,svm,Random Networks,10,Arithmetic Mean
0.0,dermatology,34,358,6,MockClassifier,NONE,NONE,NONE
0.0,dermatology,34,358,6,MockClassifier,Random Subspace,10,Majority Voting
0.0,dermatology,34,358,6,MockClassifier,Random Networks,10,Majority Voting
0.0,dermatology,34,358,6,MockClassifier,Random Subspace,10,Arithmetic Mean
0.0,dermatology,34,358,6,MockClassifier,Random Networks,10,Arithmetic Mean
0.578482972136,dermatology,34,358,6,Extreme Learning Machine,NONE,NONE,NONE
0.478543171655,dermatology,34,358,6,Extreme Learning Machine,Random Subspace,10,Majority Voting
0.581424148607,dermatology,34,358,6,Extreme Learning Machine,Random Networks,10,Majority Voting
0.466778465772,dermatology,34,358,6,Extreme Learning Machine,Random Subspace,10,Arithmetic Mean
0.581424148607,dermatology,34,358,6,Extreme Learning Machine,Random Networks,10,Arithmetic Mean
0.454850361197,dermatology,34,358,6,Back Propagation PyBrain,NONE,NONE,NONE
0.703680770554,dermatology,34,358,6,Back Propagation PyBrain,Random Subspace,10,Majority Voting
0.630151358789,dermatology,34,358,6,Back Propagation PyBrain,Random Networks,10,Majority Voting
0.485655314757,dermatology,34,358,6,Back Propagation PyBrain,Random Subspace,10,Arithmetic Mean
0.534004127967,dermatology,34,358,6,Back Propagation PyBrain,Random Networks,10,Arithmetic Mean
0.963837289302,dermatology,34,358,6,svm,NONE,NONE,NONE
0.974673202614,dermatology,34,358,6,svm,Random Subspace,10,Majority Voting
0.966632266942,dermatology,34,358,6,svm,Random Networks,10,Majority Voting
0.919358445132,dermatology,34,358,6,svm,Random Subspace,10,Arithmetic Mean
0.960913312693,dermatology,34,358,6,svm,Random Networks,10,Arithmetic Mean
0.653449538795,tic_tac_toe_OHE,27,958,2,MockClassifier,NONE,NONE,NONE
0.653449538795,tic_tac_toe_OHE,27,958,2,MockClassifier,Random Subspace,10,Majority Voting
0.653449538795,tic_tac_toe_OHE,27,958,2,MockClassifier,Random Networks,10,Majority Voting
0.653449538795,tic_tac_toe_OHE,27,958,2,MockClassifier,Random Subspace,10,Arithmetic Mean
0.653449538795,tic_tac_toe_OHE,27,958,2,MockClassifier,Random Networks,10,Arithmetic Mean
0.84864475945,tic_tac_toe_OHE,27,958,2,Extreme Learning Machine,NONE,NONE,NONE
0.729810544402,tic_tac_toe_OHE,27,958,2,Extreme Learning Machine,Random Subspace,10,Majority Voting
0.84864475945,tic_tac_toe_OHE,27,958,2,Extreme Learning Machine,Random Networks,10,Majority Voting
0.744329896907,tic_tac_toe_OHE,27,958,2,Extreme Learning Machine,Random Subspace,10,Arithmetic Mean
0.84864475945,tic_tac_toe_OHE,27,958,2,Extreme Learning Machine,Random Networks,10,Arithmetic Mean
0.212850990233,tic_tac_toe_OHE,27,958,2,Back Propagation PyBrain,NONE,NONE,NONE
0.694034070356,tic_tac_toe_OHE,27,958,2,Back Propagation PyBrain,Random Subspace,10,Majority Voting
0.74010863176,tic_tac_toe_OHE,27,958,2,Back Propagation PyBrain,Random Networks,10,Majority Voting
0.674349339844,tic_tac_toe_OHE,27,958,2,Back Propagation PyBrain,Random Subspace,10,Arithmetic Mean
0.750721988606,tic_tac_toe_OHE,27,958,2,Back Propagation PyBrain,Random Networks,10,Arithmetic Mean
0.983332655091,tic_tac_toe_OHE,27,958,2,svm,NONE,NONE,NONE
0.739220021704,tic_tac_toe_OHE,27,958,2,svm,Random Subspace,10,Majority Voting
0.983332655091,tic_tac_toe_OHE,27,958,2,svm,Random Networks,10,Majority Voting
0.740141978658,tic_tac_toe_OHE,27,958,2,svm,Random Subspace,10,Arithmetic Mean
0.983332655091,tic_tac_toe_OHE,27,958,2,svm,Random Networks,10,Arithmetic Mean
0.04,soybean_large,35,250,14,MockClassifier,NONE,NONE,NONE
