score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.1673903274,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,1, Majority  Voting 
0.1737132079,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,3, Majority  Voting 
0.1497082794,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,5, Majority  Voting 
0.1546152936,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,10, Majority  Voting 
0.1496709569,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,20, Majority  Voting 
0.1508624902,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,30, Majority  Voting 
0.1572746069,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,40, Majority  Voting 
0.1483499413,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,50, Majority  Voting 
0.1510173449,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,60, Majority  Voting 
0.1571170189,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,70, Majority  Voting 
0.1603324968,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,80, Majority  Voting 
0.1570491456,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,90, Majority  Voting 
0.1556469592,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,100, Majority  Voting 
0.1613862693,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,1, Majority  Voting 
0.1631023092,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,3, Majority  Voting 
0.1541972053,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,5, Majority  Voting 
0.1629833162,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,10, Majority  Voting 
0.1573149531,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,20, Majority  Voting 
0.157241344,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,30, Majority  Voting 
0.1569186562,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,40, Majority  Voting 
0.1614453832,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,50, Majority  Voting 
0.1614528701,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,60, Majority  Voting 
0.1600639812,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,70, Majority  Voting 
0.1557978044,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,80, Majority  Voting 
0.1615132565,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,90, Majority  Voting 
0.1600444194,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,100, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,1, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,3, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,5, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,10, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,20, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,30, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,40, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,50, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,60, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,70, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,80, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,90, Majority  Voting 
0.1526046465,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Networks ,100, Majority  Voting 
0.1720539735,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,1, Arithmetic  Mean 
0.1543973691,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,3, Arithmetic  Mean 
0.155409523,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,5, Arithmetic  Mean 
0.1481387597,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,10, Arithmetic  Mean 
0.1541079691,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,20, Arithmetic  Mean 
0.1570761942,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,30, Arithmetic  Mean 
0.1497526562,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,40, Arithmetic  Mean 
0.1571463472,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,50, Arithmetic  Mean 
0.1569812723,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,60, Arithmetic  Mean 
0.1557090968,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,70, Arithmetic  Mean 
0.1555106841,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,80, Arithmetic  Mean 
0.1510448721,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,90, Arithmetic  Mean 
0.1587256334,urban_land_cover,147,675,9, Extreme  Learning  Machine ,Bagging,100, Arithmetic  Mean 
0.1671936947,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,1, Arithmetic  Mean 
0.1691727798,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,3, Arithmetic  Mean 
0.1641668341,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,5, Arithmetic  Mean 
0.1525690791,urban_land_cover,147,675,9, Extreme  Learning  Machine , Random  Subspace ,10, Arithmetic  Mean 
