score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.741535303777,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
0.731083743842,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,70,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,70,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.641352442371,glass,9,214,6,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.737733990148,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.937254901961,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.741305418719,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,100,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.613559640207,glass,9,214,6,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.958660525521,house_votes,48,435,2,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.937175536881,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.97743378053,dermatology,130,358,6,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,100,Arithmetic Mean
0.95849944629,house_votes,48,435,2,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.617474565861,glass,9,214,6,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.741420361248,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,70,Arithmetic Mean
0.931535947712,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,70,Arithmetic Mean
0.931535947712,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
0.960986106916,house_votes,48,435,2,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.623606347886,glass,9,214,6,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
0.983152734778,dermatology,130,358,6,Back Propagation PyBrain,Bagging,50,Arithmetic Mean
0.977597179223,dermatology,130,358,6,Back Propagation PyBrain,Bagging,60,Arithmetic Mean
0.966883116883,thyroid,5,215,3,Back Propagation PyBrain,Bagging,40,Arithmetic Mean
0.97743378053,dermatology,130,358,6,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,70,Arithmetic Mean
0.745,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,100,Arithmetic Mean
0.931456582633,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,30,Arithmetic Mean
0.965531561462,house_votes,48,435,2,Back Propagation PyBrain,Bagging,70,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,25,Arithmetic Mean
