score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,40,Majority Voting
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Bagging,50,Majority Voting
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Bagging,60,Majority Voting
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,50,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,70,Majority Voting
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,60,Majority Voting
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,70,Majority Voting
0.748563218391,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,40,Majority Voting
0.730960591133,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,50,Majority Voting
0.824236874237,spect,44,267,2,Back Propagation PyBrain,Bagging,50,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,40,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Bagging,100,Majority Voting
0.83892958893,spect,44,267,2,Back Propagation PyBrain,Bagging,60,Majority Voting
0.632477983496,glass,9,214,6,Back Propagation PyBrain,Bagging,40,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,50,Majority Voting
0.727742200328,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,60,Majority Voting
0.92606442577,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,50,Majority Voting
0.831796906797,spect,44,267,2,Back Propagation PyBrain,Bagging,70,Majority Voting
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Bagging,100,Majority Voting
0.983316133471,dermatology,130,358,6,Back Propagation PyBrain,Bagging,40,Majority Voting
0.627913707193,glass,9,214,6,Back Propagation PyBrain,Bagging,50,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Bagging,50,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Bagging,60,Majority Voting
0.922796451914,ionosphere,34,351,2,Back Propagation PyBrain,Bagging,60,Majority Voting
0.744876847291,breast_cancer,43,286,2,Back Propagation PyBrain,Bagging,70,Majority Voting
0.980374957,dermatology,130,358,6,Back Propagation PyBrain,Bagging,50,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Bagging,60,Majority Voting
0.963150609081,house_votes,48,435,2,Back Propagation PyBrain,Bagging,50,Majority Voting
0.627196003844,glass,9,214,6,Back Propagation PyBrain,Bagging,60,Majority Voting
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Bagging,40,Majority Voting
