score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.737980295567,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.744885057471,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.951633986928,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.737857142857,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.737619047619,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.623170624189,glass,9,214,6,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.942973856209,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.960877881808,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.980374957,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.734285714286,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.598318127334,glass,9,214,6,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.976406926407,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.627913707193,glass,9,214,6,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.940196078431,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.963150609081,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.627913707193,glass,9,214,6,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.931619981326,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.980374957,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.974802201582,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.627913707193,glass,9,214,6,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.971645021645,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.963150609081,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.730960591133,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.960933252794,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.983152734778,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.940032679739,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.983316133471,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.849643874644,spect,44,267,2,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.734408866995,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.988888888889,wine,13,178,3,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.633130157409,glass,9,214,6,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.980374957,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.965423336354,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.945751633987,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.734408866995,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.863805361305,crx,46,653,2,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.976406926407,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.976406926407,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.839072039072,spect,44,267,2,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.948692810458,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.976406926407,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.632675611955,glass,9,214,6,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.971645021645,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.977777777778,wine,13,178,3,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.966666666667,iris,4,150,3,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.859236596737,crx,46,653,2,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.984352618014,tic_tac_toe,27,958,2,Back Propagation PyBrain,Random Networks,40,Arithmetic Mean
0.960825027685,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.63226153328,glass,9,214,6,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.717159277504,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.835215710216,spect,44,267,2,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.86385270979,crx,46,653,2,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
0.94885620915,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.607534894549,glass,9,214,6,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.83137973138,spect,44,267,2,Back Propagation PyBrain,Random Networks,60,Arithmetic Mean
0.963258834189,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.97743378053,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.983462332301,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.983299986435,tic_tac_toe,27,958,2,Back Propagation PyBrain,Random Networks,50,Arithmetic Mean
0.942810457516,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.963258834189,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.734047619048,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.83892958893,spect,44,267,2,Back Propagation PyBrain,Random Networks,70,Arithmetic Mean
0.984352618014,tic_tac_toe,27,958,2,Back Propagation PyBrain,Random Networks,30,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.986093911249,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,100,Arithmetic Mean
0.86560460373,crx,46,653,2,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.62830896411,glass,9,214,6,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.966883116883,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.839061864062,spect,44,267,2,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.980374957,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.984352618014,tic_tac_toe,27,958,2,Back Propagation PyBrain,Random Networks,25,Arithmetic Mean
0.962337662338,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.960877881808,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,15,Arithmetic Mean
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
0.972187822497,wine,13,178,3,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.842501017501,spect,44,267,2,Back Propagation PyBrain,Random Networks,20,Arithmetic Mean
0.752151067323,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
0.943057889823,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.641766521046,glass,9,214,6,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
0.977450980392,wine,13,178,3,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
0.948529411765,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
0.980684554524,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,8,Arithmetic Mean
0.958605154535,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
0.966883116883,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,12,Arithmetic Mean
