score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,40,Majority Voting
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.730714285714,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,40,Majority Voting
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,70,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,40,Majority Voting
0.846347171347,spect,44,267,2,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.730714285714,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Random Networks,100,Majority Voting
0.636998375385,glass,9,214,6,Back Propagation PyBrain,Random Networks,40,Majority Voting
0.734047619048,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.937254901961,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.835083435083,spect,44,267,2,Back Propagation PyBrain,Random Networks,60,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.835083435083,spect,44,267,2,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.980538355693,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,40,Majority Voting
0.983333333333,wine,13,178,3,Back Propagation PyBrain,Random Networks,100,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Random Networks,50,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.618581285229,glass,9,214,6,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.72381773399,breast_cancer,43,286,2,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.983316133471,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.934477124183,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.618540818449,glass,9,214,6,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.965531561462,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.940196078431,ionosphere,34,351,2,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.977777777778,wine,13,178,3,Back Propagation PyBrain,Random Networks,40,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.966666666667,iris,4,150,3,Back Propagation PyBrain,Random Networks,30,Majority Voting
0.977597179223,dermatology,130,358,6,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.839204314204,spect,44,267,2,Back Propagation PyBrain,Random Networks,100,Majority Voting
0.638111335651,glass,9,214,6,Back Propagation PyBrain,Random Networks,70,Majority Voting
0.958496929427,house_votes,48,435,2,Back Propagation PyBrain,Random Networks,60,Majority Voting
0.971645021645,thyroid,5,215,3,Back Propagation PyBrain,Random Networks,50,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,Back Propagation PyBrain,Random Networks,50,Majority Voting
