score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.716798029557,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.966666666667,iris,4,150,3,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
0.734047619048,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.936932773109,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.723579638752,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.966666666667,iris,4,150,3,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.96,iris,4,150,3,Back Propagation PyBrain,Random Subspace,100,Arithmetic Mean
0.564939720844,glass,9,214,6,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.977760577915,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.723702791461,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
0.939869281046,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.942537501258,house_votes,48,435,2,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,100,Arithmetic Mean
0.594563186623,glass,9,214,6,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
0.727274220033,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
0.983316133471,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.945588235294,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
0.953901137622,house_votes,48,435,2,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.574463530367,glass,9,214,6,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.911471861472,thyroid,5,215,3,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.600036553835,glass,9,214,6,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
0.980538355693,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
0.948529411765,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
0.977450980392,wine,13,178,3,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.977906776746,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.951628410349,house_votes,48,435,2,Back Propagation PyBrain,Random Subspace,60,Arithmetic Mean
0.966666666667,iris,4,150,3,Back Propagation PyBrain,Random Subspace,25,Arithmetic Mean
0.951470588235,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,30,Arithmetic Mean
0.593554439458,glass,9,214,6,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
0.986093911249,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
0.838522588523,spect,44,267,2,Back Propagation PyBrain,Random Subspace,40,Arithmetic Mean
0.906493506494,thyroid,5,215,3,Back Propagation PyBrain,Random Subspace,50,Arithmetic Mean
0.727397372742,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,100,Arithmetic Mean
0.72394909688,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,25,Arithmetic Mean
0.954006845867,house_votes,48,435,2,Back Propagation PyBrain,Random Subspace,70,Arithmetic Mean
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,25,Arithmetic Mean
