score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.966666666667,iris,4,150,3,Back Propagation PyBrain,Random Subspace,40,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.96,iris,4,150,3,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.977450980392,wine,13,178,3,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.946666666667,iris,4,150,3,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.734408866995,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,40,Majority Voting
0.983006535948,wine,13,178,3,Back Propagation PyBrain,Random Subspace,70,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,40,Majority Voting
0.842368742369,spect,44,267,2,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.730722495895,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.973333333333,iris,4,150,3,Back Propagation PyBrain,Random Subspace,100,Majority Voting
0.846214896215,spect,44,267,2,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.5866894509,glass,9,214,6,Back Propagation PyBrain,Random Subspace,40,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.983316133471,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,40,Majority Voting
0.727151067323,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.934397759104,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.842643467643,spect,44,267,2,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.977450980392,wine,13,178,3,Back Propagation PyBrain,Random Subspace,100,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.730845648604,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.599133703825,glass,9,214,6,Back Propagation PyBrain,Random Subspace,50,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.986093911249,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.942647058824,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.947135809927,house_votes,48,435,2,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.977450980392,wine,13,178,3,Back Propagation PyBrain,Random Subspace,40,Majority Voting
1.0,soybean_small,72,47,4,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.988871689026,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.581754980336,glass,9,214,6,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.945751633987,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.953333333333,iris,4,150,3,Back Propagation PyBrain,Random Subspace,30,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.944810228531,house_votes,48,435,2,Back Propagation PyBrain,Random Subspace,60,Majority Voting
0.846214896215,spect,44,267,2,Back Propagation PyBrain,Random Subspace,100,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.942731092437,ionosphere,34,351,2,Back Propagation PyBrain,Random Subspace,40,Majority Voting
0.588660435674,glass,9,214,6,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.977906776746,dermatology,130,358,6,Back Propagation PyBrain,Random Subspace,70,Majority Voting
0.734047619048,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,30,Majority Voting
0.90670995671,thyroid,5,215,3,Back Propagation PyBrain,Random Subspace,50,Majority Voting
0.730968801314,breast_cancer,43,286,2,Back Propagation PyBrain,Random Subspace,100,Majority Voting
0.823962148962,spect,44,267,2,Back Propagation PyBrain,Random Subspace,40,Majority Voting
