score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.840303030303,fertility_yesnoreal,14,100,2,svm,Bagging,1,Majority Voting
0.831212121212,fertility_yesnoOHE,17,100,2,svm,Bagging,1,Majority Voting
0.841414141414,fertility_yesnoreal,14,100,2,svm,Bagging,1,Arithmetic Mean
0.831414141414,fertility_yesnoOHE,17,100,2,svm,Bagging,1,Arithmetic Mean
0.92,iris,4,150,3,svm,Bagging,1,Majority Voting
0.714293924466,breast_cancer,43,286,2,svm,Bagging,1,Majority Voting
0.943722943723,thyroid,5,215,3,svm,Bagging,1,Majority Voting
1.0,soybean_small,72,47,4,svm,Bagging,2,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Bagging,4,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,4,Majority Voting
0.80871998372,spect,44,267,2,svm,Bagging,1,Majority Voting
0.906666666667,iris,4,150,3,svm,Bagging,1,Arithmetic Mean
0.838797313797,spect,44,267,2,svm,Bagging,2,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,4,Arithmetic Mean
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Bagging,4,Arithmetic Mean
0.957792207792,thyroid,5,215,3,svm,Bagging,1,Arithmetic Mean
0.816554741555,spect,44,267,2,svm,Bagging,1,Arithmetic Mean
0.983006535948,wine,13,178,3,svm,Bagging,2,Majority Voting
0.699055829228,breast_cancer,43,286,2,svm,Bagging,1,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Bagging,2,Arithmetic Mean
0.953901137622,house_votes,48,435,2,svm,Bagging,2,Majority Voting
1.0,soybean_small,72,47,4,svm,Bagging,1,Majority Voting
0.727274220033,breast_cancer,43,286,2,svm,Bagging,2,Majority Voting
0.913333333333,iris,4,150,3,svm,Bagging,4,Majority Voting
0.971895424837,wine,13,178,3,svm,Bagging,1,Majority Voting
0.835368335368,spect,44,267,2,svm,Bagging,2,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Bagging,1,Arithmetic Mean
0.601162094961,glass,9,214,6,svm,Bagging,1,Majority Voting
0.94,iris,4,150,3,svm,Bagging,2,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,2,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Bagging,8,Majority Voting
1.0,soybean_small,72,47,4,svm,Bagging,6,Majority Voting
0.983006535948,wine,13,178,3,svm,Bagging,1,Arithmetic Mean
0.586368787582,glass,9,214,6,svm,Bagging,2,Majority Voting
0.983006535948,wine,13,178,3,svm,Bagging,2,Arithmetic Mean
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,2,Arithmetic Mean
0.939393939394,thyroid,5,215,3,svm,Bagging,4,Majority Voting
0.734655172414,breast_cancer,43,286,2,svm,Bagging,4,Majority Voting
0.956226719017,house_votes,48,435,2,svm,Bagging,2,Arithmetic Mean
0.864042832168,crx,46,653,2,svm,Bagging,1,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,8,Majority Voting
0.926666666667,iris,4,150,3,svm,Bagging,2,Arithmetic Mean
0.82382987383,spect,44,267,2,svm,Bagging,4,Majority Voting
0.713481116585,breast_cancer,43,286,2,svm,Bagging,2,Arithmetic Mean
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Bagging,2,Majority Voting
0.83892958893,spect,44,267,2,svm,Bagging,6,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Bagging,8,Arithmetic Mean
0.562883344725,glass,9,214,6,svm,Bagging,1,Arithmetic Mean
0.913333333333,iris,4,150,3,svm,Bagging,4,Arithmetic Mean
0.880505050505,fertility_yesnoOHE,17,100,2,svm,Bagging,2,Arithmetic Mean
0.913333333333,iris,4,150,3,svm,Bagging,8,Majority Voting
0.983006535948,wine,13,178,3,svm,Bagging,6,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,8,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Bagging,6,Arithmetic Mean
0.958446592168,house_votes,48,435,2,svm,Bagging,6,Majority Voting
0.953246753247,thyroid,5,215,3,svm,Bagging,4,Arithmetic Mean
0.601860976552,glass,9,214,6,svm,Bagging,2,Arithmetic Mean
0.831115181115,spect,44,267,2,svm,Bagging,4,Arithmetic Mean
0.944155844156,thyroid,5,215,3,svm,Bagging,8,Majority Voting
0.972041623667,dermatology,130,358,6,svm,Bagging,1,Majority Voting
0.713357963875,breast_cancer,43,286,2,svm,Bagging,6,Majority Voting
0.864042832168,crx,46,653,2,svm,Bagging,1,Arithmetic Mean
0.703366174056,breast_cancer,43,286,2,svm,Bagging,4,Arithmetic Mean
0.839204314204,spect,44,267,2,svm,Bagging,6,Arithmetic Mean
0.720615763547,breast_cancer,43,286,2,svm,Bagging,8,Majority Voting
0.902934074878,tic_tac_toe,27,958,2,svm,Bagging,1,Majority Voting
0.956173864895,house_votes,48,435,2,svm,Bagging,1,Majority Voting
1.0,soybean_small,72,47,4,svm,Bagging,12,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Bagging,6,Majority Voting
0.913333333333,iris,4,150,3,svm,Bagging,6,Majority Voting
0.926666666667,iris,4,150,3,svm,Bagging,8,Arithmetic Mean
0.839072039072,spect,44,267,2,svm,Bagging,8,Majority Voting
0.977450980392,wine,13,178,3,svm,Bagging,4,Majority Voting
