score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.926666666667,iris,4,150,3,svm,Random Networks,1,Majority Voting
0.83892958893,spect,44,267,2,svm,Random Networks,1,Majority Voting
0.983006535948,wine,13,178,3,svm,Random Networks,1,Majority Voting
0.713596059113,breast_cancer,43,286,2,svm,Random Networks,1,Majority Voting
0.956173864895,house_votes,48,435,2,svm,Random Networks,1,Majority Voting
0.92,iris,4,150,3,svm,Random Networks,1,Arithmetic Mean
0.92010270775,ionosphere,34,351,2,svm,Random Networks,1,Majority Voting
0.913333333333,iris,4,150,3,svm,Random Networks,2,Majority Voting
0.83838013838,spect,44,267,2,svm,Random Networks,1,Arithmetic Mean
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Networks,1,Majority Voting
0.846347171347,spect,44,267,2,svm,Random Networks,2,Majority Voting
0.983006535948,wine,13,178,3,svm,Random Networks,1,Arithmetic Mean
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Networks,1,Arithmetic Mean
0.713719211823,breast_cancer,43,286,2,svm,Random Networks,2,Majority Voting
0.956173864895,house_votes,48,435,2,svm,Random Networks,1,Arithmetic Mean
0.92,iris,4,150,3,svm,Random Networks,2,Arithmetic Mean
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Networks,1,Majority Voting
0.926666666667,iris,4,150,3,svm,Random Networks,4,Majority Voting
0.958446592168,house_votes,48,435,2,svm,Random Networks,2,Majority Voting
0.629653778716,glass,9,214,6,svm,Random Networks,1,Majority Voting
0.92010270775,ionosphere,34,351,2,svm,Random Networks,1,Arithmetic Mean
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Networks,1,Arithmetic Mean
0.92010270775,ionosphere,34,351,2,svm,Random Networks,2,Majority Voting
0.731206896552,breast_cancer,43,286,2,svm,Random Networks,1,Arithmetic Mean
0.839061864062,spect,44,267,2,svm,Random Networks,2,Arithmetic Mean
0.983006535948,wine,13,178,3,svm,Random Networks,2,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Networks,2,Majority Voting
0.983006535948,wine,13,178,3,svm,Random Networks,4,Majority Voting
1.0,soybean_small,72,47,4,svm,Random Networks,1,Majority Voting
0.720738916256,breast_cancer,43,286,2,svm,Random Networks,2,Arithmetic Mean
0.95303030303,thyroid,5,215,3,svm,Random Networks,1,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Networks,2,Arithmetic Mean
0.720615763547,breast_cancer,43,286,2,svm,Random Networks,4,Majority Voting
0.624477795279,glass,9,214,6,svm,Random Networks,1,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Random Networks,1,Arithmetic Mean
0.926666666667,iris,4,150,3,svm,Random Networks,4,Arithmetic Mean
0.628411542691,glass,9,214,6,svm,Random Networks,2,Majority Voting
0.956173864895,house_votes,48,435,2,svm,Random Networks,2,Arithmetic Mean
0.948484848485,thyroid,5,215,3,svm,Random Networks,1,Arithmetic Mean
0.958446592168,house_votes,48,435,2,svm,Random Networks,4,Majority Voting
0.83892958893,spect,44,267,2,svm,Random Networks,4,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Networks,2,Majority Voting
0.92010270775,ionosphere,34,351,2,svm,Random Networks,4,Majority Voting
1.0,soybean_small,72,47,4,svm,Random Networks,2,Majority Voting
0.92010270775,ionosphere,34,351,2,svm,Random Networks,2,Arithmetic Mean
0.983006535948,wine,13,178,3,svm,Random Networks,2,Arithmetic Mean
0.864042832168,crx,46,653,2,svm,Random Networks,1,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Networks,2,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Random Networks,2,Arithmetic Mean
0.92,iris,4,150,3,svm,Random Networks,6,Majority Voting
