score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.893333333333,iris,4,150,3,svm,Random Subspace,1,Majority Voting
0.78663003663,spect,44,267,2,svm,Random Subspace,1,Majority Voting
0.92865497076,wine,13,178,3,svm,Random Subspace,1,Majority Voting
0.727274220033,breast_cancer,43,286,2,svm,Random Subspace,1,Majority Voting
0.891918767507,ionosphere,34,351,2,svm,Random Subspace,1,Majority Voting
0.903737541528,house_votes,48,435,2,svm,Random Subspace,1,Majority Voting
0.873333333333,iris,4,150,3,svm,Random Subspace,1,Arithmetic Mean
0.804477004477,spect,44,267,2,svm,Random Subspace,2,Majority Voting
0.797619047619,spect,44,267,2,svm,Random Subspace,1,Arithmetic Mean
0.906666666667,iris,4,150,3,svm,Random Subspace,2,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Subspace,1,Majority Voting
0.904499914001,wine,13,178,3,svm,Random Subspace,1,Arithmetic Mean
0.710147783251,breast_cancer,43,286,2,svm,Random Subspace,1,Arithmetic Mean
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Subspace,1,Arithmetic Mean
0.710147783251,breast_cancer,43,286,2,svm,Random Subspace,2,Majority Voting
0.916305469556,wine,13,178,3,svm,Random Subspace,2,Majority Voting
0.883506069094,ionosphere,34,351,2,svm,Random Subspace,1,Arithmetic Mean
0.924300312091,house_votes,48,435,2,svm,Random Subspace,1,Arithmetic Mean
0.96,soybean_small,72,47,4,svm,Random Subspace,1,Majority Voting
0.912450921172,house_votes,48,435,2,svm,Random Subspace,2,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Subspace,1,Majority Voting
0.911764705882,ionosphere,34,351,2,svm,Random Subspace,2,Majority Voting
0.801048026048,spect,44,267,2,svm,Random Subspace,2,Arithmetic Mean
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Subspace,1,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Random Subspace,1,Arithmetic Mean
0.853333333333,iris,4,150,3,svm,Random Subspace,2,Arithmetic Mean
0.906666666667,iris,4,150,3,svm,Random Subspace,4,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Subspace,2,Majority Voting
0.805311355311,spect,44,267,2,svm,Random Subspace,4,Majority Voting
0.891991341991,thyroid,5,215,3,svm,Random Subspace,1,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Subspace,2,Arithmetic Mean
0.709778325123,breast_cancer,43,286,2,svm,Random Subspace,2,Arithmetic Mean
0.937874097007,wine,13,178,3,svm,Random Subspace,2,Arithmetic Mean
0.720615763547,breast_cancer,43,286,2,svm,Random Subspace,4,Majority Voting
0.879437229437,thyroid,5,215,3,svm,Random Subspace,1,Arithmetic Mean
0.94470244238,wine,13,178,3,svm,Random Subspace,4,Majority Voting
