score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.81916971917,spect,44,267,2,hpelmnn,Random Subspace,1,Arithmetic Mean
0.871489262372,ionosphere,34,351,2,hpelmnn,Bagging,1,Majority Voting
0.819851444851,spect,44,267,2,hpelmnn,Random Networks,1,Arithmetic Mean
0.835303454715,ionosphere,34,351,2,hpelmnn,Random Subspace,1,Majority Voting
0.886120448179,ionosphere,34,351,2,hpelmnn,Random Networks,1,Majority Voting
0.831542531543,spect,44,267,2,hpelmnn,Random Networks,2,Majority Voting
0.865859010271,ionosphere,34,351,2,hpelmnn,Bagging,1,Arithmetic Mean
0.911605975724,ionosphere,34,351,2,hpelmnn,Bagging,2,Majority Voting
0.81916971917,spect,44,267,2,hpelmnn,Bagging,4,Majority Voting
0.860056022409,ionosphere,34,351,2,hpelmnn,Random Subspace,1,Arithmetic Mean
0.88350140056,ionosphere,34,351,2,hpelmnn,Random Networks,1,Arithmetic Mean
0.902703081232,ionosphere,34,351,2,hpelmnn,Random Subspace,2,Majority Voting
0.797344322344,spect,44,267,2,hpelmnn,Bagging,2,Arithmetic Mean
0.790382980647,tic_tac_toe,27,958,2,hpelmnn,Bagging,1,Majority Voting
0.831257631258,spect,44,267,2,hpelmnn,Random Subspace,2,Arithmetic Mean
0.835215710216,spect,44,267,2,hpelmnn,Random Subspace,4,Majority Voting
0.923207282913,ionosphere,34,351,2,hpelmnn,Random Networks,2,Majority Voting
0.691017136914,tic_tac_toe,27,958,2,hpelmnn,Random Subspace,1,Majority Voting
0.803763338759,tic_tac_toe,27,958,2,hpelmnn,Random Networks,1,Majority Voting
0.81628001628,spect,44,267,2,hpelmnn,Random Networks,2,Arithmetic Mean
0.883095238095,ionosphere,34,351,2,hpelmnn,Bagging,2,Arithmetic Mean
0.7828192259,tic_tac_toe,27,958,2,hpelmnn,Bagging,1,Arithmetic Mean
0.816412291412,spect,44,267,2,hpelmnn,Random Networks,4,Majority Voting
0.677420645686,tic_tac_toe,27,958,2,hpelmnn,Random Subspace,1,Arithmetic Mean
0.886690009337,ionosphere,34,351,2,hpelmnn,Random Subspace,2,Arithmetic Mean
0.759044357027,tic_tac_toe,27,958,2,hpelmnn,Random Networks,1,Arithmetic Mean
0.853333333333,iris,4,150,3,hpelmnn,Bagging,1,Majority Voting
0.906050420168,ionosphere,34,351,2,hpelmnn,Bagging,4,Majority Voting
0.606666666667,iris,4,150,3,hpelmnn,Random Subspace,1,Majority Voting
0.880154061625,ionosphere,34,351,2,hpelmnn,Random Networks,2,Arithmetic Mean
0.773333333333,iris,4,150,3,hpelmnn,Random Networks,1,Majority Voting
0.793333333333,iris,4,150,3,hpelmnn,Bagging,1,Arithmetic Mean
0.835368335368,spect,44,267,2,hpelmnn,Bagging,4,Arithmetic Mean
0.6,iris,4,150,3,hpelmnn,Random Subspace,1,Arithmetic Mean
0.84,iris,4,150,3,hpelmnn,Random Networks,1,Arithmetic Mean
0.972187822497,wine,13,178,3,hpelmnn,Bagging,1,Majority Voting
0.874276377218,ionosphere,34,351,2,hpelmnn,Random Subspace,4,Majority Voting
0.881004901961,wine,13,178,3,hpelmnn,Random Subspace,1,Majority Voting
